"rets" "tips" "level" "tree_child" "tree_based" "fu_stable" "normal" "gen_no" "degen_no" "neu_no" "recon" "row_row"
"137" 0 5 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"138" 4 36 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"139" 1 19 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"140" 0 38 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"141" 0 18 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"142" 35 116 35 TRUE TRUE TRUE TRUE 35 0 0 FALSE 61
"143" 0 14 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"144" 48 149 48 TRUE TRUE TRUE TRUE 48 0 0 FALSE 61
"145" 34 108 34 TRUE TRUE TRUE TRUE 34 0 0 FALSE 61
"146" 1 34 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"147" 106 210 106 TRUE TRUE TRUE TRUE 106 0 0 FALSE 61
"148" 0 5 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"149" 0 5 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"150" 6 50 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"151" 3 48 2 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"152" 23 99 23 TRUE TRUE TRUE TRUE 23 0 0 FALSE 61
"153" 1 33 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"154" 384 558 384 TRUE TRUE TRUE TRUE 384 0 0 FALSE 61
"155" 5 37 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"156" 117 246 117 TRUE TRUE TRUE TRUE 117 0 0 FALSE 61
"157" 1 30 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"158" 24 105 24 TRUE TRUE TRUE TRUE 24 0 0 FALSE 61
"159" 0 18 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"160" 10 73 10 TRUE TRUE TRUE TRUE 10 0 0 FALSE 61
"161" 4 51 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"162" 13 64 13 TRUE TRUE TRUE TRUE 13 0 0 FALSE 61
"163" 1 17 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"164" 4 26 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"165" 161 321 161 TRUE TRUE TRUE TRUE 161 0 0 FALSE 61
"166" 57 148 57 TRUE TRUE TRUE TRUE 57 0 0 FALSE 61
"167" 0 7 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"168" 0 10 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"169" 84 200 84 TRUE TRUE TRUE TRUE 84 0 0 FALSE 61
"170" 6 42 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"171" 2 41 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"172" 22 83 22 TRUE TRUE TRUE TRUE 22 0 0 FALSE 61
"173" 169 316 169 TRUE TRUE TRUE TRUE 169 0 0 FALSE 61
"174" 7 40 7 TRUE TRUE TRUE TRUE 7 0 0 FALSE 61
"175" 0 13 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"176" 0 17 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"177" 0 18 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"178" 102 223 102 TRUE TRUE TRUE TRUE 102 0 0 FALSE 61
"179" 1 14 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"180" 34 123 34 TRUE TRUE TRUE TRUE 34 0 0 FALSE 61
"181" 882 1129 882 TRUE TRUE TRUE TRUE 882 0 0 FALSE 61
"182" 0 14 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"183" 2 17 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"184" 8 46 8 TRUE TRUE TRUE TRUE 8 0 0 FALSE 61
"185" 34 112 34 TRUE TRUE TRUE TRUE 34 0 0 FALSE 61
"186" 1 23 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"187" 5 41 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"188" 0 2 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"189" 2 21 1 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"190" 0 11 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"191" 1 30 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"192" 0 5 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"193" 15 78 13 TRUE TRUE TRUE TRUE 15 0 0 FALSE 61
"194" 5 34 5 TRUE TRUE TRUE TRUE 5 0 0 FALSE 61
"195" 13 60 13 TRUE TRUE TRUE TRUE 13 0 0 FALSE 61
"196" 0 10 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"197" 0 10 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"198" 3 29 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"199" 27 92 27 TRUE TRUE TRUE TRUE 27 0 0 FALSE 61
"200" 6 55 5 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"201" 0 3 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"202" 0 12 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"203" 161 307 161 TRUE TRUE TRUE TRUE 161 0 0 FALSE 61
"204" 6 51 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"205" 3 40 2 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"206" 20 76 20 TRUE TRUE TRUE TRUE 20 0 0 FALSE 61
"207" 2 16 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"208" 0 25 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"209" 0 12 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"210" 2 34 1 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"211" 1691 1984 1691 TRUE TRUE TRUE TRUE 1691 0 0 FALSE 61
"212" 1 10 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"213" 0 19 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"214" 58 181 58 TRUE TRUE TRUE TRUE 58 0 0 FALSE 61
"215" 0 15 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"216" 1 13 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"217" 32 127 32 TRUE TRUE TRUE TRUE 32 0 0 FALSE 61
"218" 3 20 3 TRUE TRUE TRUE TRUE 3 0 0 FALSE 61
"219" 2 22 1 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"220" 2 36 2 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"221" 4 34 2 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"222" 29 105 29 TRUE TRUE TRUE TRUE 29 0 0 FALSE 61
"223" 69 166 68 TRUE TRUE TRUE TRUE 69 0 0 FALSE 61
"224" 0 17 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"225" 0 4 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"226" 2 46 1 TRUE TRUE TRUE TRUE 2 0 0 FALSE 61
"227" 431 635 431 TRUE TRUE TRUE TRUE 431 0 0 FALSE 61
"228" 53 158 53 TRUE TRUE TRUE TRUE 53 0 0 FALSE 61
"229" 1 26 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"230" 28 115 28 TRUE TRUE TRUE TRUE 28 0 0 FALSE 61
"231" 28 104 27 TRUE TRUE TRUE TRUE 28 0 0 FALSE 61
"232" 48 136 48 TRUE TRUE TRUE TRUE 48 0 0 FALSE 61
"233" 4 39 4 TRUE TRUE TRUE TRUE 4 0 0 FALSE 61
"234" 0 4 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"235" 14 73 14 TRUE TRUE TRUE TRUE 14 0 0 FALSE 61
"236" 0 20 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"237" 6 37 6 TRUE TRUE TRUE TRUE 6 0 0 FALSE 61
"238" 0 6 0 TRUE TRUE TRUE TRUE NA NA NA FALSE 61
"239" 9 49 8 TRUE TRUE TRUE TRUE 9 0 0 FALSE 61
"240" 1 15 1 TRUE TRUE TRUE TRUE 1 0 0 FALSE 61
"241" 25 96 25 TRUE TRUE TRUE TRUE 25 0 0 FALSE 61
